timestamp,windSpeed,temperature,humidity
1646409600000,11.88,4.7,12
1646413200000,10.44,5.8,12
1646416800000,16.56,6.2,12
1646420400000,17.64,6.8,12
1646424000000,8.64,7.9,11
1646427600000,15.12,8.7,11
1646431200000,20.52,9.1,9
1646434800000,7.92,10.2,8
1646438400000,8.28,10.2,8
1646442000000,5.76,9.6,8
1646445600000,8.28,8.8,9
1646449200000,1.08,5.8,13
1646452800000,3.96,2.6,21
1646456400000,1.8,2,23
1646460000000,1.08,0.5,27
1646463600000,0,-0.2,29
1646467200000,3.6,-1.3,35
1646470800000,2.88,-2.1,35
1646474400000,2.88,-2.4,38
1646478000000,2.16,-3.1,41
1646481600000,2.16,-3,41
1646485200000,6.48,-1.6,34
1646488800000,8.28,0.4,25
1646492400000,4.32,-0.8,32
1646496000000,7.2,0.6,29
1646499600000,6.84,2.7,25
1646503200000,4.32,4.6,23
1646506800000,3.96,6.4,22
1646510400000,13.68,8.9,17
1646514000000,13.32,10,17
1646517600000,12.24,11,16
1646521200000,18,11.7,15
1646524800000,12.6,11.7,15
1646528400000,15.12,11,17
1646532000000,6.84,10.2,20
1646535600000,4.68,9.5,23
1646539200000,0.72,6.9,29
1646542800000,3.96,6.3,32
1646546400000,5.76,5.8,33
1646550000000,0.36,4.6,35
